date locale	heure locale	t	hr	psta	rf1e
date loc	heure	C	0-100	hPa	kJ/m2/h
01/01/2015	00	-7.0	45.0	987.135	0
01/01/2015	01	-7.0	62.0	987.135	0
01/01/2015	02	-7.0	62.0	986.124	0
01/01/2015	03	-8.0	79.0	985.113	0
01/01/2015	04	-7.0	73.0	985.104	0
01/01/2015	05	-7.0	73.0	985.095	0
01/01/2015	06	-7.0	73.0	985.087	0
01/01/2015	07	-7.0	68.0	985.08	0
01/01/2015	08	-6.0	58.0	985.073	20.26
01/01/2015	09	-5.0	58.0	984.067	85.07
01/01/2015	10	-4.0	58.0	984.062	191.44
01/01/2015	11	-4.0	68.0	983.057	287.6
01/01/2015	12	-4.0	74.0	982.052	442.99
01/01/2015	13	-4.0	80.0	982.048	462.39
01/01/2015	14	-4.0	86.0	982.044	354.66
01/01/2015	15	-4.0	86.0	982.04	212.76
01/01/2015	16	-4.0	86.0	982.037	86.19
01/01/2015	17	-4.0	86.0	983.034	43.095
01/01/2015	18	-4.0	86.0	984.031	0
01/01/2015	19	-4.0	86.0	984.028	0
01/01/2015	20	-4.0	93.0	985.026	0
01/01/2015	21	-4.0	86.0	985.024	0
01/01/2015	22	-4.0	80.0	985.022	0
01/01/2015	23	-4.0	68.0	985.02	0
02/01/2015	00	-4.0	68.0	985.018	0
02/01/2015	01	-4.0	68.0	985.018	0
02/01/2015	02	-4.0	68.0	985.017	0
02/01/2015	03	-4.0	80.0	986.015	0
02/01/2015	04	-5.0	79.0	986.014	0
02/01/2015	05	-6.0	53.0	986.013	0
02/01/2015	06	-8.0	53.0	988.012	0
02/01/2015	07	-9.0	52.0	991.011	0
02/01/2015	08	-10.0	52.0	993.01	16.48
02/01/2015	09	-9.0	48.0	994.009	183.84
02/01/2015	10	-8.0	48.0	996.008	777.32
02/01/2015	11	-8.0	48.0	996.008	1206.34
02/01/2015	12	-8.0	45.0	996.007	1402.87
02/01/2015	13	-8.0	45.0	997.006	1357.72
02/01/2015	14	-8.0	48.0	998.006	938.17
02/01/2015	15	-8.0	45.0	999.005	239.2
02/01/2015	16	-8.0	41.0	1000	95.84
