date locale	heure locale	t	hr	psta	rf1e
date loc	heure	C	0-100	hPa	kJ/m2/h
01/01/2015	00	0	0	0	0.00
01/01/2015	01	0	0	0	0.00
01/01/2015	02	0	0	0	0.00
01/01/2015	03	0	0	0	0.00
01/01/2015	04	0	0	0	0.00
01/01/2015	05	0	0	0	0.00
01/01/2015	06	0	0	0	0.00
01/01/2015	07	0	0	0	0.07
01/01/2015	08	0	0	0	2.84
01/01/2015	09	0	0	0	9.00
01/01/2015	10	0	0	0	17.49
01/01/2015	11	0	0	0	26.36
01/01/2015	12	0	0	0	32.84
01/01/2015	13	0	0	0	13.03
01/01/2015	14	0	0	0	3.09
01/01/2015	15	0	0	0	0.56
01/01/2015	16	0	0	0	0.00
01/01/2015	17	0	0	0	0.00
01/01/2015	18	0	0	0	0.00
01/01/2015	19	0	0	0	0.00
01/01/2015	20	0	0	0	0.00
01/01/2015	21	0	0	0	0.00
01/01/2015	22	0	0	0	0.00
01/01/2015	23	0	0	0	0.00
02/01/2015	00	0	0	0	0.00
02/01/2015	01	0	0	0	0.00
02/01/2015	02	0	0	0	0.00
02/01/2015	03	0	0	0	0.00
02/01/2015	04	0	0	0	0.00
02/01/2015	05	0	0	0	0.00
02/01/2015	06	0	0	0	0.00
02/01/2015	07	0	0	0	0.35
02/01/2015	08	0	0	0	1.25
02/01/2015	09	0	0	0	7.47
02/01/2015	10	0	0	0	15.35
02/01/2015	11	0	0	0	29.62
02/01/2015	12	0	0	0	38.27
02/01/2015	13	0	0	0	30.27
02/01/2015	14	0	0	0	13.59
02/01/2015	15	0	0	0	0.90
02/01/2015	16	0	0	0	0.00
02/01/2015	17	0	0	0	0.00
02/01/2015	18	0	0	0	0.00
02/01/2015	19	0	0	0	0.00
02/01/2015	20	0	0	0	0.00
02/01/2015	21	0	0	0	0.00
02/01/2015	22	0	0	0	0.00
02/01/2015	23	0	0	0	0.00
03/01/2015	00	0	0	0	0.00
03/01/2015	01	0	0	0	0.00
03/01/2015	02	0	0	0	0.00
03/01/2015	03	0	0	0	0.00
03/01/2015	04	0	0	0	0.00
03/01/2015	05	0	0	0	0.00
03/01/2015	06	0	0	0	0.00
03/01/2015	07	0	0	0	0.01
03/01/2015	08	0	0	0	3.25
03/01/2015	09	0	0	0	33.78
03/01/2015	10	0	0	0	81.38
03/01/2015	11	0	0	0	106.57
03/01/2015	12	0	0	0	102.18
03/01/2015	13	0	0	0	69.24
03/01/2015	14	0	0	0	15.42
03/01/2015	15	0	0	0	1.38
03/01/2015	16	0	0	0	0.00
03/01/2015	17	0	0	0	0.00
03/01/2015	18	0	0	0	0.00
03/01/2015	19	0	0	0	0.00
03/01/2015	20	0	0	0	0.00
03/01/2015	21	0	0	0	0.00
03/01/2015	22	0	0	0	0.00
03/01/2015	23	0	0	0	0.00
04/01/2015	00	0	0	0	0.00
04/01/2015	01	0	0	0	0.00
04/01/2015	02	0	0	0	0.00
04/01/2015	03	0	0	0	0.00
04/01/2015	04	0	0	0	0.00
04/01/2015	05	0	0	0	0.00
