date	clock time	altitude	azimuth
1/1	00:00	-52.57	-160.43
1/1	00:05	-52.78	-162.30
1/1	00:10	-52.96	-164.18
1/1	00:15	-53.12	-166.07
1/1	00:20	-53.27	-167.98
1/1	00:25	-53.39	-169.89
1/1	00:30	-53.49	-171.82
1/1	00:35	-53.57	-173.75
1/1	00:40	-53.63	-175.68
1/1	00:45	-53.67	-177.62
1/1	00:50	-53.68	-179.56
1/1	00:55	-53.67	-178.50
1/1	01:00	-53.65	-176.55
1/1	01:05	-53.60	-174.62
1/1	01:10	-53.53	-172.68
1/1	01:15	-53.43	-170.76
1/1	01:20	-53.32	-168.84
1/1	01:25	-53.19	-166.93
1/1	01:30	-53.03	-165.03
1/1	01:35	-52.86	-163.14
1/1	01:40	-52.66	-161.27
1/1	01:45	-52.45	-159.41
1/1	01:50	-52.21	-157.57
1/1	01:55	-51.96	-155.74
1/1	02:00	-51.69	-153.94
1/1	02:05	-51.40	-152.15
1/1	02:10	-51.09	-150.37
1/1	02:15	-50.77	-148.62
1/1	02:20	-50.43	-146.89
1/1	02:25	-50.07	-145.18
1/1	02:30	-49.70	-143.49
1/1	02:35	-49.31	-141.82
1/1	02:40	-48.91	-140.18
1/1	02:45	-48.50	-138.55
1/1	02:50	-48.07	-136.95
1/1	02:55	-47.63	-135.37
1/1	03:00	-47.17	-133.80
1/1	03:05	-46.71	-132.26
1/1	03:10	-46.23	-130.74
1/1	03:15	-45.74	-129.25
1/1	03:20	-45.24	-127.77
1/1	03:25	-44.73	-126.31
1/1	03:30	-44.21	-124.87
1/1	03:35	-43.69	-123.45
1/1	03:40	-43.15	-122.05
1/1	03:45	-42.60	-120.67
1/1	03:50	-42.05	-119.30
1/1	03:55	-41.49	-117.96
1/1	04:00	-40.93	-116.62
1/1	04:05	-40.35	-115.31
1/1	04:10	-39.77	-114.01
1/1	04:15	-39.19	-112.73
1/1	04:20	-38.60	-111.46
1/1	04:25	-38.00	-110.21
1/1	04:30	-37.40	-108.97
1/1	04:35	-36.80	-107.74
1/1	04:40	-36.19	-106.53
1/1	04:45	-35.57	-105.33
1/1	04:50	-34.96	-104.14
1/1	04:55	-34.34	-102.96
1/1	05:00	-33.71	-101.79
1/1	05:05	-33.09	-100.64
1/1	05:10	-32.46	-99.49
1/1	05:15	-31.83	-98.35
1/1	05:20	-31.20	-97.23
1/1	05:25	-30.57	-96.11
1/1	05:30	-29.93	-95.00
1/1	05:35	-29.29	-93.89
1/1	05:40	-28.66	-92.80
1/1	05:45	-28.02	-91.71
1/1	05:50	-27.38	-90.63
1/1	05:55	-26.75	-89.55
1/1	06:00	-26.11	-88.48
1/1	06:05	-25.47	-87.42
1/1	06:10	-24.83	-86.36
1/1	06:15	-24.20	-85.31
1/1	06:20	-23.56	-84.26
1/1	06:25	-22.93	-83.22
1/1	06:30	-22.30	-82.17
1/1	06:35	-21.67	-81.14
1/1	06:40	-21.04	-80.10
1/1	06:45	-20.41	-79.07
1/1	06:50	-19.79	-78.04
1/1	06:55	-19.16	-77.02
1/1	07:00	-18.54	-75.99
1/1	07:05	-17.93	-74.97
1/1	07:10	-17.31	-73.95
1/1	07:15	-16.70	-72.93
1/1	07:20	-16.09	-71.91
1/1	07:25	-15.49	-70.90
1/1	07:30	-14.89	-69.88
1/1	07:35	-14.29	-68.86
1/1	07:40	-13.70	-67.85
1/1	07:45	-13.11	-66.83
1/1	07:50	-12.52	-65.82
1/1	07:55	-11.95	-64.80
1/1	08:00	-11.37	-63.78
1/1	08:05	-10.80	-62.76
1/1	08:10	-10.24	-61.74
1/1	08:15	-9.68	-60.72
1/1	08:20	-9.12	-59.70
1/1	08:25	-8.58	-58.68
1/1	08:30	-8.04	-57.65
1/1	08:35	-7.50	-56.62
1/1	08:40	-6.97	-55.59
1/1	08:45	-6.45	-54.56
1/1	08:50	-5.93	-53.53
1/1	08:55	-5.42	-52.49
1/1	09:00	-4.92	-51.45
1/1	09:05	-4.42	-50.41
1/1	09:10	-3.94	-49.37
